tx_rate,rx_rate,pkt_success,n0_awake_time,n1_awake_time,avg_transmission_time_per_pkt
0.98,0.98,1.0,2.0265833333333334,1.9903333333333333,15539.217391304348
0.982,0.98,1.0,1.9882916666666666,2.0033333333333334,25219.565217391304
0.984,0.98,1.0,1.9814583333333333,1.9997500000000001,24737.782608695652
0.986,0.98,1.0,2.0122916666666666,1.9914166666666666,35533.217391304344
0.988,0.98,1.0,2.0072916666666667,1.9982083333333334,42790.913043478264
0.99,0.98,1.0,1.9656666666666667,1.9859166666666668,43600.565217391304
0.992,0.98,1.0,1.950875,2.007,43998.69565217391
0.994,0.98,1.0,1.92025,2.0126666666666666,70606.95652173914
0.996,0.98,1.0,1.8344583333333335,1.9950416666666668,114274.26086956522
0.998,0.98,1.0,1.7120416666666665,2.0076666666666667,159291.34782608695
0.98,0.982,1.0,1.8239583333333333,1.7912916666666667,21870.565217391304
0.982,0.982,1.0,1.8271666666666666,1.8087499999999999,24162.347826086956
0.984,0.982,1.0,1.8389166666666668,1.8175000000000001,32459.347826086956
0.986,0.982,1.0,1.8059583333333333,1.8083333333333333,23138.478260869564
0.988,0.982,1.0,1.7860416666666667,1.8040833333333333,31502.260869565216
0.99,0.982,1.0,1.7951249999999999,1.8034583333333334,51607.13043478261
0.992,0.982,1.0,1.7589166666666667,1.8002916666666666,59670.391304347824
0.994,0.982,1.0,1.729125,1.7950000000000002,66922.78260869565
0.996,0.982,1.0,1.7102083333333333,1.8033333333333332,80351.47826086957
0.998,0.982,1.0,1.4909999999999999,1.8041666666666667,189484.0
0.98,0.984,1.0,1.6516666666666666,1.5886250000000002,28871.565217391304
0.982,0.984,1.0,1.6324583333333333,1.5990416666666667,27313.391304347828
0.984,0.984,1.0,1.6376666666666668,1.5970416666666667,44607.913043478264
0.986,0.984,1.0,1.630375,1.6007916666666666,42289.565217391304
0.988,0.984,1.0,1.6197916666666665,1.6056666666666668,59633.30434782609
0.99,0.984,1.0,1.5813333333333333,1.606,44779.217391304344
0.992,0.984,1.0,1.589625,1.6129583333333333,66646.78260869565
0.994,0.984,1.0,1.5545,1.613625,70564.43478260869
0.996,0.984,1.0,1.44075,1.591,148105.69565217392
0.998,0.984,1.0,1.2099583333333335,1.6088749999999998,274339.39130434784
0.98,0.986,1.0,1.4778333333333333,1.3945833333333333,40619.434782608696
0.982,0.986,1.0,1.4562916666666668,1.3934583333333332,40088.65217391304
0.984,0.986,1.0,1.4319166666666665,1.3934166666666665,32219.043478260868
0.986,0.986,1.0,1.42125,1.3989166666666668,38701.86956521739
0.988,0.986,1.0,1.4132916666666666,1.397875,42432.04347826087
0.99,0.986,1.0,1.4132083333333334,1.4079583333333332,46599.69565217391
0.992,0.986,1.0,1.3747916666666666,1.3952916666666668,89558.86956521739
0.994,0.986,1.0,1.3327916666666666,1.4023333333333334,101709.43478260869
0.996,0.986,1.0,1.2788333333333335,1.3978333333333335,124569.52173913043
0.998,0.986,1.0,1.0169166666666667,1.40725,331939.0
0.98,0.988,1.0,1.2545416666666667,1.1869166666666666,26970.434782608696
0.982,0.988,1.0,1.25575,1.205625,27543.17391304348
0.984,0.988,1.0,1.2635833333333335,1.1980416666666667,48711.04347826087
0.986,0.988,1.0,1.2489166666666667,1.2052500000000002,55291.52173913043
0.988,0.988,1.0,1.2404166666666667,1.2005,65658.82608695653
0.99,0.988,1.0,1.2437916666666666,1.1975416666666667,89471.95652173914
0.992,0.988,1.0,1.1880833333333334,1.194625,111585.95652173914
0.994,0.988,1.0,1.1667083333333332,1.1899583333333332,91288.0
0.996,0.988,1.0,1.0978750000000002,1.187125,159077.0
0.998,0.988,1.0,0.8537916666666666,1.1906666666666665,363674.4347826087
0.98,0.99,1.0,1.0704583333333333,1.0026666666666666,34874.69565217391
0.982,0.99,1.0,1.1054583333333332,0.9972916666666667,61487.17391304348
0.984,0.99,1.0,1.089375,0.9964166666666666,68617.69565217392
0.986,0.99,1.0,1.0594166666666667,1.0096666666666667,59348.95652173913
0.988,0.99,1.0,1.07875,0.9976666666666667,86243.0
0.99,0.99,1.0,1.0245416666666667,0.9919583333333334,75278.47826086957
0.992,0.99,1.0,1.035,0.9903333333333333,179893.13043478262
0.994,0.99,1.0,1.0025416666666667,1.002,102050.04347826086
0.996,0.99,1.0,0.9069583333333334,0.9977916666666666,207322.21739130435
0.998,0.99,1.0,0.6089583333333333,0.9876666666666667,497033.04347826086
0.98,0.992,1.0,0.9087083333333335,0.7872499999999999,47125.217391304344
0.982,0.992,1.0,0.895875,0.8006666666666667,46240.913043478264
0.984,0.992,1.0,0.88925,0.7958333333333333,44209.217391304344
0.986,0.992,1.0,0.9429583333333333,0.7935833333333333,100040.69565217392
0.988,0.992,1.0,0.8793333333333333,0.7994583333333333,69039.91304347826
0.99,0.992,1.0,0.84525,0.7864583333333333,70738.30434782608
0.992,0.992,1.0,0.8557083333333333,0.8063333333333333,131776.78260869565
0.994,0.992,1.0,0.8103333333333333,0.7937083333333335,117368.21739130435
0.996,0.992,1.0,0.7450833333333333,0.7719166666666667,244517.5652173913
0.998,0.992,1.0,0.5234583333333334,0.7958750000000001,522971.82608695654
0.98,0.994,1.0,0.8945833333333333,0.6049166666666667,114840.04347826086
0.982,0.994,1.0,0.7791666666666667,0.6025,89230.21739130435
0.984,0.994,1.0,0.8019583333333333,0.5997083333333333,100571.47826086957
0.986,0.994,1.0,0.8007916666666667,0.5911666666666666,121595.73913043478
0.988,0.994,1.0,0.7755833333333333,0.5972500000000001,147123.86956521738
0.99,0.994,1.0,0.7348333333333333,0.5940416666666667,141592.26086956522
0.992,0.994,1.0,0.6855,0.5960416666666667,131264.39130434784
0.994,0.994,1.0,0.6665416666666667,0.59675,233599.65217391305
0.996,0.994,1.0,0.592625,0.5992916666666667,272620.26086956525
0.998,0.994,1.0,0.3490833333333333,0.6047083333333333,814732.2608695652
0.98,0.996,1.0,0.6356666666666667,0.40220833333333333,82714.21739130435
0.982,0.996,1.0,0.7986666666666666,0.384,158090.5652173913
0.984,0.996,1.0,0.698875,0.40504166666666663,136468.86956521738
0.986,0.996,1.0,0.6505416666666666,0.3992083333333334,146372.39130434784
0.988,0.996,1.0,0.742375,0.40370833333333334,219622.1739130435
0.99,0.996,1.0,0.6477083333333333,0.3894166666666667,199311.60869565216
0.992,0.996,1.0,0.7045,0.393,342769.3043478261
0.994,0.996,1.0,0.5911666666666666,0.39412500000000006,370661.60869565216
0.996,0.996,1.0,0.5242083333333333,0.39249999999999996,567770.5217391305
0.998,0.996,0.5217391304347826,0.31666666666666665,0.40725,832135.7391304348
0.98,0.998,1.0,0.7742916666666667,0.19241666666666668,202343.30434782608
0.982,0.998,1.0,0.8604999999999999,0.19125,243913.65217391305
0.984,0.998,1.0,0.948875,0.14429166666666665,315002.652173913
0.986,0.998,1.0,0.8095,0.13795833333333335,290732.4347826087
0.988,0.998,1.0,0.9003333333333333,0.16304166666666667,417867.5652173913
0.99,0.998,1.0,0.6865833333333333,0.188,345330.0869565217
0.992,0.998,0.8695652173913043,1.1082916666666667,0.128375,820002.0869565217
0.994,0.998,1.0,0.6172916666666667,0.1745,539495.8260869565
0.996,0.998,0.782608695652174,0.5466666666666666,0.206125,830718.5652173914
0.998,0.998,0.5652173913043478,0.29354166666666665,0.18762500000000001,899750.5217391305
